Player,Team,Cap Number,Cash Spent,Year,Pos
Jimmy Garoppolo,49ers,"$37,000,000","$41,950,000",2018,QB
Matt Stafford,Lions,"$26,500,000","$16,500,000",2018,QB
Derek Carr,Raiders,"$25,000,000","$22,500,000",2018,QB
Joe Flacco,Ravens,"$24,750,000","$12,000,000",2018,QB
Andrew Luck,Colts,"$24,400,000","$18,000,000",2018,QB
Kirk Cousins,Vikings,"$24,000,000","$26,000,000",2018,QB
Drew Brees,Saints,"$24,000,000","$27,000,000",2018,QB
Russell Wilson,Seahawks,"$23,786,764","$15,500,000",2018,QB
Ben Roethlisberger,Steelers,"$23,200,000","$17,000,000",2018,QB
Eli Manning,Giants,"$22,200,000","$16,000,000",2018,QB
Tom Brady,Patriots,"$22,000,000","$15,000,000",2018,QB
Philip Rivers,Chargers,"$22,000,000","$15,000,000",2018,QB
Cam Newton,Panthers,"$21,500,000","$15,000,000",2018,QB
Aaron Rodgers,Packers,"$20,900,000","$66,900,000",2018,QB
Alex Smith,Commanders,"$18,400,000","$40,000,000",2018,QB
Matt Ryan,Falcons,"$17,700,000","$52,500,000",2018,QB
Andy Dalton,Bengals,"$16,300,000","$13,900,000",2018,QB
Tyrod Taylor,Browns,"$16,000,000","$16,000,000",2018,QB
Case Keenum,Broncos,"$15,000,000","$18,000,000",2018,QB
Nick Foles,Eagles,"$13,600,000","$11,250,000",2018,QB
Josh McCown,Jets,"$10,000,000","$10,000,000",2018,QB
Blake Bortles,Jaguars,"$10,000,000","$20,000,000",2018,QB
Ryan Tannehill,Dolphins,"$8,676,666","$17,500,000",2018,QB
Jameis Winston,Buccaneers,"$7,941,903","$3,767,580",2018,QB
Marcus Mariota,Titans,"$7,704,446","$3,736,905",2018,QB
Jared Goff,Rams,"$7,619,365","$2,989,788",2018,QB
Carson Wentz,Eagles,"$7,275,365","$2,875,122",2018,QB
Mitchell Trubisky,Bears,"$6,598,281","$1,784,656",2018,QB
Baker Mayfield,Browns,"$5,942,360","$22,329,440",2018,QB
Sam Darnold,Jets,"$5,499,581","$20,558,324",2018,QB
Matt Schaub,Falcons,"$4,500,000","$3,250,000",2018,QB
Chase Daniel,Bears,"$4,000,000","$4,000,000",2018,QB
Josh Allen,Bills,"$3,851,461","$13,965,844",2018,QB
Patrick Mahomes,Chiefs,"$3,733,173","$1,211,635",2018,QB
Colt McCoy,Commanders,"$3,600,000","$2,950,000",2018,QB
Ryan Fitzpatrick,Buccaneers,"$3,300,000","$3,300,000",2018,QB
Josh Rosen,Cardinals,"$3,199,593","$11,358,372",2018,QB
Deshaun Watson,Texans,"$3,148,746","$1,094,749",2018,QB
Chad Henne,Chiefs,"$2,600,000","$4,150,000",2018,QB
Drew Stanton,Browns,"$2,500,000","$3,265,625",2018,QB
Teddy Bridgewater,Saints,"$2,290,000","$5,000,000",2018,QB
Blaine Gabbert,Titans,"$2,000,000","$2,500,000",2018,QB
Mike Glennon,Cardinals,"$2,000,000","$5,000,000",2018,QB
Trevor Siemian,Vikings,"$1,907,000","$1,907,000",2018,QB
Lamar Jackson,Ravens,"$1,722,118","$5,448,472",2018,QB
Ryan Griffin,Buccaneers,"$1,375,000","$1,600,000",2018,QB
Robert Griffin III,Ravens,"$1,100,000","$1,100,000",2018,QB
Sean Mannion,Rams,"$1,034,227","$877,778",2018,QB
Geno Smith,Chargers,"$1,000,000","$1,000,000",2018,QB
Brian Hoyer,Patriots,"$915,000","$915,000",2018,QB
A.J. McCarron,Raiders,"$900,000","$900,000",2018,QB
C.J. Beathard,49ers,"$801,965","$625,393",2018,QB
Jacoby Brissett,Colts,"$760,076","$760,076",2018,QB
Cody Kessler,Jaguars,"$758,098","$758,098",2018,QB
Dak Prescott,Cowboys,"$725,848","$630,000",2018,QB
Matt Cassel,Lions,"$720,000","$1,105,000",2018,QB
David Fales,Dolphins,"$720,000","$880,000",2018,QB
Brandon Weeden,Texans,"$720,000","$880,000",2018,QB
Brock Osweiler,Dolphins,"$720,000","$880,000",2018,QB
Mason Rudolph,Steelers,"$713,066","$1,412,264",2018,QB
Brett Hundley,Seahawks,"$705,000","$705,000",2018,QB
Joshua Dobbs,Steelers,"$694,781","$555,000",2018,QB
DeShone Kizer,Packers,"$689,928","$689,928",2018,QB
Taylor Heinicke,Panthers,"$689,000","$689,000",2018,QB
Kyle Lauletta,Giants,"$656,925","$1,187,700",2018,QB
Kevin Hogan,Broncos,"$630,000","$630,000",2018,QB
Joe Webb,Texans,"$630,000","$915,000",2018,QB
Jeff Driskel,Bengals,"$630,000","$630,000",2018,QB
Nate Sudfeld,Eagles,"$630,000","$630,000",2018,QB
Matt Barkley,Bills,"$618,235","$1,018,235",2018,QB
Cooper Rush,Cowboys,"$556,666","$555,000",2018,QB
Alex Tanney,Giants,"$555,000","$555,000",2018,QB
Brad Kaaya,Colts,"$555,000","$555,000",2018,QB
Kyle Sloter,Vikings,"$555,000","$555,000",2018,QB
Taysom Hill,Saints,"$555,000","$555,000",2018,QB
Mike White,Cowboys,"$534,389","$697,556",2018,QB
Derek Anderson,Bills,"$503,236","$775,001",2018,QB
Tim Boyle,Packers,"$482,000","$486,000",2018,QB
Nick Mullens,49ers,"$395,294","$395,294",2018,QB
Luke Falk,Dolphins,"$390,529","$390,529",2018,QB
Jake Rudock,Lions,"$340,000","$340,000",2018,QB
Davis Webb,Jets,"$261,176","$261,176",2018,QB
Mark Sanchez,Commanders,"$222,353","$322,941",2018,QB
Tom Savage,Bengals,"$207,353","$207,353",2018,QB
Josh Johnson,Commanders,"$148,235","$215,294",2018,QB
Kurt Benkert,Falcons,"$129,200","$129,200",2018,QB
Alex McGough,Seahawks,"$129,200","$129,200",2018,QB
Chase Litton,Chiefs,"$129,200","$129,200",2018,QB
Cardale Jones,Chargers,"$129,200","$129,200",2018,QB
Danny Etling,Patriots,"$129,200","$129,200",2018,QB
Brandon Allen,Rams,"$114,000","$114,000",2018,QB
Garrett Grayson,Broncos,"$76,000","$76,000",2018,QB
Connor Cook,Bengals,"$60,800","$60,800",2018,QB
Kyle Allen,Panthers,"$56,471","$56,471",2018,QB
Chad Kanoff,Cardinals,"$30,400","$30,400",2018,QB
Tanner Lee,Jaguars,"$28,235","$28,235",2018,QB
Nathan Peterman,Raiders,"$15,200","$15,200",2018,QB
J.T. Barrett,Saints,"$7,600","$7,600",2018,QB
Phillip Walker,Colts,"$7,600","$7,600",2018,QB
Nathan Peterman,Raiders,$0,$0,2018,QB
Matt Stafford,Lions,"$30,700,000","$19,500,000",2019,QB
Aaron Rodgers,Packers,"$29,352,000","$29,260,000",2019,QB
Kirk Cousins,Vikings,"$29,000,000","$28,000,000",2019,QB
Russell Wilson,Seahawks,"$26,286,766","$70,000,000",2019,QB
Ben Roethlisberger,Steelers,"$26,200,000","$45,000,000",2019,QB
Eli Manning,Giants,"$23,200,000","$17,000,000",2019,QB
Cam Newton,Panthers,"$23,200,000","$16,700,000",2019,QB
Philip Rivers,Chargers,"$23,000,000","$16,000,000",2019,QB
Drew Brees,Saints,"$22,700,000","$23,000,000",2019,QB
Derek Carr,Raiders,"$22,500,000","$20,000,000",2019,QB
Tom Brady,Patriots,"$21,500,000","$23,000,000",2019,QB
Jameis Winston,Buccaneers,"$20,922,000","$20,922,000",2019,QB
Marcus Mariota,Titans,"$20,922,000","$20,922,000",2019,QB
Alex Smith,Commanders,"$20,100,000","$15,000,000",2019,QB
Jimmy Garoppolo,49ers,"$20,000,000","$18,600,000",2019,QB
Andy Dalton,Bengals,"$16,200,000","$16,200,000",2019,QB
Matt Ryan,Falcons,"$15,800,000","$21,500,000",2019,QB
Nick Foles,Jaguars,"$12,000,000","$30,125,000",2019,QB
Jared Goff,Rams,"$10,629,577","$26,000,000",2019,QB
Jacoby Brissett,Colts,"$8,525,000","$14,900,000",2019,QB
Carson Wentz,Eagles,"$8,393,779","$17,087,683",2019,QB
Mitchell Trubisky,Bears,"$7,917,937","$3,104,312",2019,QB
Baker Mayfield,Browns,"$7,427,950","$1,965,590",2019,QB
Sam Darnold,Jets,"$6,874,476","$1,854,895",2019,QB
Kyler Murray,Cardinals,"$6,392,481","$24,084,924",2019,QB
Chase Daniel,Bears,"$6,000,000","$6,000,000",2019,QB
Ryan Fitzpatrick,Dolphins,"$5,500,000","$5,500,000",2019,QB
Joe Flacco,Broncos,"$4,900,000","$18,500,000",2019,QB
Josh Allen,Bills,"$4,814,326","$1,442,865",2019,QB
Daniel Jones,Giants,"$4,666,192","$17,179,768",2019,QB
Patrick Mahomes,Chiefs,"$4,479,808","$1,958,270",2019,QB
Chad Henne,Chiefs,"$4,100,000","$2,550,000",2019,QB
Deshaun Watson,Texans,"$3,778,495","$1,724,498",2019,QB
Drew Stanton,Browns,"$3,765,625","$2,765,625",2019,QB
Case Keenum,Commanders,"$3,500,000","$3,500,000",2019,QB
Tyrod Taylor,Chargers,"$3,500,000","$6,000,000",2019,QB
Colt McCoy,Commanders,"$3,375,000","$3,500,000",2019,QB
Teddy Bridgewater,Saints,"$3,250,000","$7,250,000",2019,QB
Nate Sudfeld,Eagles,"$3,095,000","$3,095,000",2019,QB
A.J. McCarron,Texans,"$3,000,000","$3,000,000",2019,QB
Brian Hoyer,Colts,"$3,000,000","$5,000,000",2019,QB
Dwayne Haskins,Commanders,"$2,621,202","$8,999,808",2019,QB
Josh McCown,Eagles,"$2,450,000","$2,000,000",2019,QB
Ryan Tannehill,Titans,"$2,225,000","$4,500,000",2019,QB
Lamar Jackson,Ravens,"$2,152,648","$910,530",2019,QB
Dak Prescott,Cowboys,"$2,120,848","$2,025,000",2019,QB
Trevor Siemian,Jets,"$2,000,000","$1,781,250",2019,QB
Brett Hundley,Cardinals,"$1,875,000","$1,875,000",2019,QB
Mike Glennon,Raiders,"$1,865,625","$1,950,000",2019,QB
Matt Barkley,Bills,"$1,737,500","$1,575,000",2019,QB
Blaine Gabbert,Buccaneers,"$1,593,750","$1,600,000",2019,QB
Robert Griffin III,Ravens,"$1,500,000","$2,000,000",2019,QB
Matt Schaub,Falcons,"$1,405,000","$1,780,000",2019,QB
Josh Rosen,Dolphins,"$1,279,898","$1,279,898",2019,QB
Drew Lock,Broncos,"$1,274,694","$3,613,776",2019,QB
Ryan Griffin,Buccaneers,"$1,255,000","$1,255,000",2019,QB
Blake Bortles,Rams,"$1,000,000","$1,000,000",2019,QB
C.J. Beathard,49ers,"$962,358","$785,786",2019,QB
DeShone Kizer,Raiders,"$914,856","$914,856",2019,QB
Mason Rudolph,Steelers,"$891,333","$658,267",2019,QB
Sean Mannion,Vikings,"$735,000","$895,000",2019,QB
Joe Webb,Texans,"$735,000","$1,020,000",2019,QB
Geno Smith,Seahawks,"$710,000","$870,000",2019,QB
Will Grier,Panthers,"$700,545","$1,317,180",2019,QB
Ryan Finley,Bengals,"$692,414","$1,284,656",2019,QB
Jarrett Stidham,Patriots,"$654,028","$1,131,112",2019,QB
Cooper Rush,Cowboys,"$646,668","$645,000",2019,QB
Matt Moore,Chiefs,"$645,000","$1,030,000",2019,QB
Brandon Allen,Broncos,"$645,000","$645,000",2019,QB
Taysom Hill,Saints,"$645,000","$645,000",2019,QB
Garrett Gilbert,Browns,"$632,500","$670,000",2019,QB
Joshua Dobbs,Jaguars,"$607,059","$607,059",2019,QB
Tim Boyle,Packers,"$572,000","$570,000",2019,QB
Nick Mullens,49ers,"$570,000","$570,000",2019,QB
Easton Stick,Chargers,"$564,655","$773,620",2019,QB
Gardner Minshew,Jaguars,"$542,904","$686,616",2019,QB
Alex Tanney,Giants,"$538,971","$501,471",2019,QB
Trace McSorley,Ravens,"$535,172","$655,688",2019,QB
Jeff Driskel,Lions,"$513,353","$513,353",2019,QB
Jacob Dolegala,Bengals,"$496,666","$500,000",2019,QB
David Blough,Lions,"$495,000","$495,000",2019,QB
Kyle Allen,Panthers,"$495,000","$495,000",2019,QB
David Fales,Jets,"$493,235","$615,588",2019,QB
Paxton Lynch,Steelers,"$455,294","$455,294",2019,QB
Devlin Hodges,Steelers,"$436,765","$436,765",2019,QB
Nathan Peterman,Raiders,"$408,000","$408,000",2019,QB
Matt Simms,Falcons,"$408,000","$408,000",2019,QB
Cody Kessler,Patriots,"$381,176","$381,176",2019,QB
Kurt Benkert,Falcons,"$378,000","$378,000",2019,QB
Josh Woodrum,Commanders,"$378,000","$378,000",2019,QB
Kyle Lauletta,Eagles,"$340,000","$340,000",2019,QB
Jake Rudock,Dolphins,"$340,000","$340,000",2019,QB
Alex McGough,Texans,"$320,298","$320,298",2019,QB
Chad Kelly,Colts,"$268,235","$268,235",2019,QB
Kyle Sloter,Lions,"$189,706","$189,706",2019,QB
Jake Browning,Vikings,"$170,000","$170,000",2019,QB
Davis Webb,Bills,"$162,000","$162,000",2019,QB
Tyler Bray,Bears,"$137,500","$137,500",2019,QB
