NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Justin Reid","SS","HOU",1,98,"",80,66,75,75,62,"",69,"",50,"","",49,"","","",888,68,80.22,
"Byron Jones","CB","MIA",1,88,4,"","",56,69,"",12,69,11,12,"","","",3,1,55,814,58,78.8,
"Marcus Maye","FS","NYJ",1,87,60,59,70,75,56,74,66,"","",82,71,78,73,59,81,65,1137,71,99.91,
"Neville Hewitt","IL","NYJ",2,87,58,59,70,75,56,74,66,"","",82,71,78,73,59,81,59,1130,70,99.3,
"Bless Austin","CB","NYJ",3,86,61,58,11,"",38,74,66,"","","","","",68,59,81,"",681,61,59.84,
"Bradley McDougald","SS","NYJ","",86,57,55,70,58,56,50,"","","","","","","","","","",432,61,37.96,
"Brian Poole","CB","NYJ","",86,36,46,57,60,52,72,65,"","","","","","","","","",483,53,42.44,
"Harvey Langi","OLB","NYJ",3,83,3,"","","","","","","","",76,64,78,73,59,"","",513,36,45.08,
"Emmanuel Moseley","CB","SF",2,82,63,9,"","",60,41,68,66,58,"",35,"","",5,"",1,498,41,48.07,
"Fred Warner","ML","SF",1,82,52,45,62,67,60,41,68,62,59,"",62,73,33,58,"",65,971,60,93.73,
"Jaquiski Tartt","SS","SF",1,82,52,45,62,67,32,"","",33,"","","","","","","","",373,53,36,
"Jimmie Ward","FS","SF",1,82,52,45,62,67,60,"",68,62,59,"",62,73,63,29,"",65,849,60,81.95,
"Alexander Johnson","IL","DEN",1,81,65,68,77,"",57,51,87,70,67,46,"","","","",73,"",1063,66,97.7,
"Justin Simmons","FS","DEN",1,81,65,68,77,"",57,51,87,71,72,65,64,64,67,73,57,69,1088,68,100,
"Kareem Jackson","CB","DEN",1,81,65,68,77,"",57,51,86,71,69,65,64,64,67,73,57,68,1083,67,99.54,
